dia,stock
351.0,147
352.0,145
353.0,139
354.0,134
355.0,128
356.0,126
357.0,120
358.0,117
359.0,113
360.0,109
361.0,101
362.0,96
363.0,92
364.0,83
365.0,75
0.0,200
1.0,196
2.0,190
3.0,184
4.0,174
5.0,171
6.0,168
7.0,165
8.0,155
9.0,151
10.0,146
11.0,141
12.0,135
13.0,132
14.0,128
15.0,124
16.0,121
17.0,109
18.0,106
19.0,99
20.0,89
21.0,85
22.0,81
23.0,73
24.0,71
25.0,68
26.0,62
27.0,57
28.0,50
29.0,184
30.0,182
31.0,178
32.0,172
33.0,165
34.0,158
35.0,156
36.0,150
37.0,143
38.0,137
39.0,134
40.0,127
41.0,123
42.0,119
43.0,117
44.0,112
45.0,108
46.0,105
47.0,96
48.0,93
49.0,88
50.0,83
51.0,82
52.0,77
53.0,75
54.0,69
55.0,65
56.0,62
57.0,56
58.0,191
59.0,186
60.0,185
61.0,180
62.0,174
63.0,172
64.0,168
65.0,161
66.0,159
67.0,151
68.0,145
69.0,138
70.0,136
71.0,129
72.0,124
73.0,119
74.0,114
75.0,111
76.0,106
77.0,103
78.0,100
79.0,92
80.0,88
81.0,83
82.0,78
83.0,66
84.0,63
85.0,58
86.0,193
87.0,190
88.0,187
89.0,179
90.0,176
91.0,171
92.0,165
93.0,162
94.0,158
95.0,154
96.0,148
97.0,141
98.0,138
99.0,135
100.0,131
101.0,128
102.0,124
103.0,120
104.0,113
105.0,106
106.0,102
107.0,98
108.0,92
109.0,87
110.0,85
111.0,81
112.0,75
113.0,67
114.0,63
115.0,60
116.0,54
117.0,49
118.0,180
119.0,176
120.0,173
121.0,169
122.0,162
123.0,158
124.0,153
125.0,145
126.0,137
127.0,133
128.0,130
129.0,126
130.0,119
131.0,108
132.0,105
133.0,100
134.0,97
135.0,92
136.0,88
137.0,85
138.0,76
139.0,73
140.0,68
141.0,66
142.0,57
143.0,50
144.0,184
145.0,178
146.0,171
147.0,164
148.0,160
149.0,155
150.0,143
151.0,137
152.0,134
153.0,127
154.0,125
155.0,120
156.0,113
157.0,107
158.0,98
159.0,95
160.0,91
161.0,87
162.0,83
163.0,78
164.0,75
165.0,69
166.0,67
167.0,59
168.0,51
169.0,45
170.0,180
171.0,175
172.0,168
173.0,163
174.0,161
175.0,157
176.0,149
177.0,145
178.0,140
179.0,138
180.0,136
181.0,129
182.0,125
183.0,121
184.0,119
185.0,117
186.0,113
187.0,106
188.0,98
189.0,91
190.0,85
191.0,81
192.0,76
193.0,73
194.0,70
195.0,64
196.0,59
197.0,54
198.0,187
199.0,185
200.0,181
201.0,173
202.0,170
203.0,168
204.0,163
205.0,161
206.0,158
207.0,154
208.0,151
209.0,145
210.0,141
211.0,135
212.0,128
213.0,125
214.0,118
215.0,117
216.0,111
217.0,104
218.0,100
219.0,97
220.0,92
221.0,87
222.0,84
223.0,79
224.0,69
225.0,63
226.0,57
227.0,47
228.0,44
229.0,180
230.0,176
231.0,173
232.0,167
233.0,164
234.0,162
235.0,156
236.0,153
237.0,148
238.0,142
239.0,135
240.0,127
241.0,121
242.0,117
243.0,111
244.0,110
245.0,107
246.0,103
247.0,96
248.0,92
249.0,89
250.0,84
251.0,80
252.0,78
253.0,75
254.0,73
255.0,66
256.0,56
257.0,50
258.0,182
259.0,177
260.0,174
261.0,169
262.0,165
263.0,163
264.0,157
265.0,152
266.0,148
267.0,142
268.0,135
269.0,127
270.0,123
271.0,113
272.0,107
273.0,99
274.0,97
275.0,92
276.0,87
277.0,83
278.0,81
279.0,76
280.0,72
281.0,68
282.0,65
283.0,62
284.0,56
285.0,52
286.0,188
287.0,185
288.0,180
289.0,173
290.0,169
291.0,162
292.0,157
293.0,154
294.0,150
295.0,145
296.0,144
297.0,137
298.0,136
299.0,134
300.0,126
301.0,121
302.0,116
303.0,109
304.0,105
305.0,98
306.0,91
307.0,88
308.0,88
309.0,82
310.0,77
311.0,75
312.0,69
313.0,61
314.0,54
315.0,46
316.0,182
317.0,175
318.0,172
319.0,168
320.0,164
321.0,158
322.0,150
323.0,146
324.0,140
325.0,134
326.0,132
327.0,130
328.0,125
329.0,122
330.0,117
331.0,115
332.0,113
333.0,111
334.0,109
335.0,107
336.0,105
337.0,99
338.0,93
339.0,87
340.0,84
341.0,79
342.0,75
343.0,73
344.0,63
345.0,61
346.0,55
347.0,48
348.0,184
349.0,179
350.0,178
351.0,168
352.0,164
353.0,157
354.0,151
355.0,146
356.0,142
357.0,139
358.0,134
359.0,132
360.0,127
361.0,121
362.0,119
363.0,110
364.0,106
365.0,100
0.0,200
1.0,195
2.0,190
3.0,184
4.0,178
5.0,171
6.0,168
7.0,160
8.0,155
9.0,148
10.0,139
11.0,133
12.0,127
13.0,122
14.0,116
15.0,114
16.0,113
17.0,106
18.0,102
19.0,96
20.0,92
21.0,89
22.0,82
23.0,80
24.0,76
25.0,72
26.0,69
27.0,62
28.0,55
29.0,193
30.0,185
31.0,181
32.0,176
33.0,170
34.0,167
35.0,158
36.0,154
37.0,150
38.0,147
39.0,145
40.0,140
41.0,136
42.0,130
43.0,126
44.0,121
45.0,119
46.0,112
47.0,108
48.0,105
49.0,94
50.0,88
51.0,83
52.0,77
53.0,71
54.0,69
55.0,64
56.0,57
57.0,49
58.0,183
59.0,178
60.0,176
61.0,173
62.0,171
63.0,164
64.0,157
65.0,149
66.0,147
67.0,143
68.0,136
69.0,129
70.0,125
71.0,119
72.0,111
73.0,105
74.0,99
75.0,95
76.0,92
77.0,91
78.0,85
79.0,75
80.0,70
81.0,63
82.0,56
83.0,193
84.0,189
85.0,186
86.0,182
87.0,174
88.0,170
89.0,164
90.0,158
91.0,152
92.0,144
93.0,142
94.0,137
95.0,134
96.0,126
97.0,119
98.0,111
99.0,108
100.0,104
101.0,96
102.0,88
103.0,84
104.0,78
105.0,72
106.0,65
107.0,61
108.0,52
109.0,49
110.0,186
111.0,181
112.0,175
113.0,172
114.0,164
115.0,161
116.0,156
117.0,147
118.0,143
119.0,137
120.0,130
121.0,123
122.0,120
123.0,116
124.0,111
125.0,106
126.0,100
127.0,94
128.0,88
129.0,80
130.0,75
131.0,66
132.0,62
133.0,59
134.0,193
135.0,189
136.0,182
137.0,177
138.0,177
139.0,172
140.0,167
141.0,162
142.0,157
143.0,155
144.0,149
145.0,143
146.0,138
147.0,133
148.0,131
149.0,125
150.0,120
151.0,113
152.0,108
153.0,102
154.0,98
155.0,96
156.0,90
157.0,87
158.0,80
159.0,75
160.0,71
161.0,68
162.0,64
163.0,60
164.0,56
165.0,47
166.0,179
167.0,177
168.0,172
169.0,169
170.0,163
171.0,159
172.0,152
173.0,146
174.0,141
175.0,138
176.0,131
177.0,127
178.0,121
179.0,118
180.0,114
181.0,110
182.0,106
183.0,103
184.0,100
185.0,94
186.0,87
187.0,84
188.0,77
189.0,70
190.0,60
191.0,197
192.0,189
193.0,183
194.0,180
195.0,174
196.0,169
197.0,164
198.0,156
199.0,149
200.0,142
201.0,140
202.0,138
203.0,131
204.0,128
205.0,123
206.0,121
207.0,118
208.0,117
209.0,111
210.0,107
211.0,101
212.0,93
213.0,92
214.0,89
215.0,85
216.0,76
217.0,72
218.0,66
219.0,60
220.0,57
221.0,52
222.0,187
223.0,180
224.0,174
225.0,172
226.0,165
227.0,161
228.0,153
229.0,151
230.0,149
231.0,143
232.0,136
233.0,131
234.0,128
235.0,125
236.0,118
237.0,114
238.0,109
239.0,105
240.0,99
241.0,93
242.0,85
243.0,81
244.0,74
245.0,62
246.0,55
247.0,53
248.0,190
249.0,186
250.0,183
251.0,180
252.0,175
253.0,169
254.0,165
255.0,157
256.0,154
257.0,145
258.0,137
259.0,129
260.0,121
261.0,114
262.0,107
263.0,102
264.0,99
265.0,94
266.0,91
267.0,87
268.0,84
269.0,80
270.0,74
271.0,70
272.0,67
273.0,62
274.0,56
275.0,191
276.0,187
277.0,180
278.0,173
279.0,167
280.0,161
281.0,158
282.0,156
283.0,153
284.0,144
285.0,140
286.0,136
287.0,130
288.0,127
289.0,120
290.0,116
291.0,114
292.0,111
293.0,106
294.0,103
295.0,99
296.0,94
297.0,91
298.0,84
299.0,80
300.0,78
301.0,74
302.0,73
303.0,70
304.0,67
305.0,62
306.0,60
307.0,53
308.0,185
309.0,176
310.0,175
311.0,171
312.0,163
313.0,160
314.0,158
315.0,155
316.0,152
317.0,150
318.0,146
319.0,143
320.0,136
321.0,131
322.0,124
323.0,118
324.0,112
325.0,110
326.0,106
327.0,100
328.0,95
329.0,90
330.0,83
331.0,75
332.0,71
333.0,68
334.0,63
335.0,60
336.0,196
337.0,193
338.0,189
339.0,185
340.0,176
341.0,174
342.0,171
343.0,166
344.0,162
345.0,161
346.0,155
347.0,151
348.0,148
349.0,142
350.0,137
351.0,133
352.0,128
353.0,120
354.0,119
355.0,114
356.0,109
357.0,105
358.0,101
359.0,98
360.0,94
361.0,88
362.0,85
363.0,83
364.0,80
365.0,73
0.0,200
1.0,198
2.0,191
3.0,185
4.0,178
5.0,171
6.0,169
7.0,163
8.0,160
9.0,148
10.0,142
11.0,140
12.0,133
13.0,129
14.0,123
15.0,111
16.0,104
17.0,97
18.0,95
19.0,88
20.0,75
21.0,71
22.0,66
23.0,61
24.0,56
25.0,52
26.0,49
27.0,183
28.0,183
29.0,177
30.0,170
31.0,162
32.0,159
33.0,152
34.0,147
35.0,143
36.0,138
37.0,136
38.0,133
39.0,128
40.0,124
41.0,121
42.0,120
43.0,112
44.0,107
45.0,98
46.0,94
47.0,91
48.0,82
49.0,74
50.0,66
51.0,59
52.0,58
53.0,51
54.0,183
55.0,179
56.0,176
57.0,170
58.0,165
59.0,158
60.0,152
61.0,145
62.0,138
63.0,134
64.0,129
65.0,125
66.0,121
67.0,115
68.0,110
69.0,104
70.0,102
71.0,94
72.0,88
73.0,84
74.0,77
75.0,69
76.0,65
77.0,57
78.0,51
79.0,188
80.0,181
81.0,173
82.0,171
83.0,166
84.0,159
85.0,157
86.0,149
87.0,145
88.0,138
89.0,132
90.0,127
91.0,118
92.0,112
93.0,107
94.0,99
95.0,92
96.0,88
97.0,82
98.0,75
99.0,69
100.0,63
101.0,54
102.0,51
103.0,186
104.0,183
105.0,181
106.0,173
107.0,171
108.0,166
109.0,162
110.0,154
111.0,147
112.0,138
113.0,128
114.0,121
115.0,118
116.0,110
117.0,104
118.0,100
119.0,97
120.0,93
121.0,90
122.0,87
123.0,84
124.0,79
125.0,75
126.0,68
127.0,64
128.0,60
129.0,196
130.0,191
131.0,185
132.0,180
133.0,176
134.0,168
135.0,160
136.0,153
137.0,151
138.0,146
139.0,144
140.0,141
141.0,141
142.0,137
143.0,132
144.0,126
145.0,126
146.0,121
147.0,114
148.0,108
149.0,105
150.0,98
151.0,94
152.0,89
153.0,83
154.0,80
155.0,72
156.0,67
157.0,64
158.0,58
159.0,55
160.0,191
161.0,189
162.0,185
163.0,183
164.0,177
165.0,173
166.0,165
167.0,158
168.0,151
169.0,146
170.0,140
171.0,136
172.0,129
173.0,123
174.0,118
175.0,113
176.0,107
177.0,98
178.0,93
179.0,87
180.0,81
181.0,75
182.0,74
183.0,70
184.0,63
185.0,57
186.0,193
187.0,191
188.0,190
189.0,180
190.0,177
191.0,173
192.0,171
193.0,167
194.0,162
195.0,161
196.0,155
197.0,150
198.0,146
199.0,142
200.0,136
201.0,131
202.0,127
203.0,122
204.0,117
205.0,110
206.0,104
207.0,101
208.0,96
209.0,92
210.0,86
211.0,81
212.0,72
213.0,66
214.0,60
215.0,57
216.0,190
217.0,183
218.0,174
219.0,171
220.0,165
221.0,161
222.0,159
223.0,157
224.0,147
225.0,143
226.0,137
227.0,133
228.0,126
229.0,119
230.0,108
231.0,103
232.0,94
233.0,85
234.0,81
235.0,75
236.0,70
237.0,65
238.0,62
239.0,58
240.0,53
241.0,188
242.0,186
243.0,178
244.0,172
245.0,168
246.0,160
247.0,150
248.0,145
249.0,137
250.0,133
251.0,127
252.0,121
253.0,114
254.0,107
255.0,102
256.0,99
257.0,92
258.0,90
259.0,78
260.0,76
261.0,73
262.0,66
263.0,59
264.0,195
265.0,191
266.0,189
267.0,185
268.0,178
269.0,172
270.0,168
271.0,158
272.0,151
273.0,147
274.0,143
275.0,137
276.0,132
277.0,125
278.0,114
279.0,107
280.0,103
281.0,99
282.0,92
283.0,89
284.0,86
285.0,83
286.0,78
287.0,75
288.0,66
289.0,61
290.0,59
291.0,194
292.0,191
293.0,190
294.0,184
295.0,178
296.0,176
297.0,172
298.0,169
299.0,166
300.0,161
301.0,157
302.0,149
303.0,143
304.0,133
305.0,126
306.0,122
307.0,119
308.0,116
309.0,110
310.0,105
311.0,101
312.0,94
313.0,87
314.0,84
315.0,77
316.0,68
317.0,65
318.0,61
319.0,57
320.0,56
321.0,52
322.0,187
323.0,181
324.0,177
325.0,169
326.0,163
327.0,160
328.0,154
329.0,148
330.0,143
331.0,140
332.0,137
333.0,134
334.0,128
335.0,123
336.0,116
337.0,113
338.0,107
339.0,103
340.0,103
341.0,99
342.0,91
343.0,86
344.0,79
345.0,75
346.0,72
347.0,64
348.0,59
349.0,50
350.0,189
351.0,183
352.0,174
353.0,174
354.0,168
355.0,159
356.0,151
357.0,146
358.0,141
359.0,132
360.0,130
361.0,128
362.0,125
363.0,118
364.0,115
365.0,108
0.0,200
1.0,195
2.0,187
3.0,182
4.0,177
5.0,171
6.0,169
7.0,165
8.0,160
9.0,155
10.0,151
11.0,150
12.0,147
13.0,141
14.0,139
15.0,133
16.0,130
17.0,121
18.0,112
19.0,111
20.0,107
21.0,101
22.0,97
23.0,92
24.0,83
25.0,80
26.0,74
27.0,71
28.0,64
29.0,62
30.0,58
31.0,54
32.0,50
33.0,179
34.0,172
35.0,167
36.0,163
37.0,160
38.0,154
39.0,150
40.0,146
41.0,139
42.0,131
43.0,129
44.0,127
45.0,122
46.0,118
47.0,114
48.0,113
49.0,110
50.0,104
51.0,95
52.0,90
53.0,82
54.0,78
55.0,74
56.0,69
57.0,65
58.0,63
59.0,60
60.0,56
61.0,189
62.0,184
63.0,183
64.0,177
65.0,171
66.0,162
67.0,162
68.0,156
69.0,150
70.0,145
71.0,142
72.0,134
73.0,127
74.0,122
75.0,122
76.0,119
77.0,113
78.0,108
79.0,103
80.0,100
81.0,96
82.0,91
83.0,86
84.0,81
85.0,77
86.0,69
87.0,66
88.0,61
89.0,59
90.0,54
91.0,47
92.0,184
93.0,180
94.0,173
95.0,167
96.0,161
97.0,160
98.0,153
99.0,147
100.0,140
101.0,134
102.0,130
103.0,126
104.0,115
105.0,110
106.0,104
107.0,99
108.0,94
109.0,91
110.0,86
111.0,84
112.0,79
113.0,72
114.0,67
115.0,59
116.0,55
117.0,54
118.0,184
119.0,180
120.0,175
121.0,172
122.0,169
123.0,165
124.0,162
125.0,156
126.0,154
127.0,150
128.0,144
129.0,138
130.0,132
131.0,129
132.0,121
133.0,116
134.0,110
135.0,103
136.0,97
137.0,93
138.0,89
139.0,83
140.0,82
141.0,76
142.0,72
143.0,63
144.0,57
145.0,189
146.0,184
147.0,180
148.0,171
149.0,165
150.0,159
151.0,153
152.0,144
153.0,138
154.0,136
155.0,134
156.0,132
157.0,128
158.0,121
159.0,120
160.0,113
161.0,109
162.0,105
163.0,100
164.0,94
165.0,88
166.0,80
167.0,75
168.0,69
169.0,65
170.0,61
171.0,59
172.0,54
173.0,189
174.0,180
175.0,177
176.0,175
177.0,173
178.0,169
179.0,157
180.0,150
181.0,146
182.0,141
183.0,136
184.0,134
185.0,130
186.0,128
187.0,126
188.0,121
189.0,117
190.0,114
191.0,110
192.0,107
193.0,97
194.0,92
195.0,86
196.0,81
197.0,76
198.0,72
199.0,67
200.0,62
201.0,57
202.0,192
203.0,184
204.0,179
205.0,170
206.0,169
207.0,168
208.0,162
209.0,156
210.0,152
211.0,147
212.0,143
213.0,137
214.0,129
215.0,125
216.0,120
217.0,114
218.0,113
219.0,108
220.0,102
221.0,96
222.0,91
223.0,87
224.0,80
225.0,76
226.0,74
227.0,71
228.0,68
229.0,62
230.0,56
231.0,52
232.0,183
233.0,177
234.0,174
235.0,170
236.0,166
237.0,162
238.0,154
239.0,147
240.0,141
241.0,137
242.0,132
243.0,123
244.0,116
245.0,111
246.0,104
247.0,101
248.0,96
249.0,92
250.0,89
251.0,86
252.0,82
253.0,74
254.0,66
255.0,63
256.0,58
257.0,53
258.0,185
259.0,178
260.0,176
261.0,171
262.0,163
263.0,154
264.0,151
265.0,147
266.0,143
267.0,138
268.0,131
269.0,128
270.0,123
271.0,118
272.0,110
273.0,105
274.0,100
275.0,92
276.0,87
277.0,83
278.0,78
279.0,75
280.0,70
281.0,66
282.0,64
283.0,57
284.0,53
285.0,188
286.0,181
287.0,177
288.0,173
289.0,166
290.0,165
291.0,155
292.0,148
293.0,142
294.0,131
295.0,127
296.0,121
297.0,113
298.0,107
299.0,101
300.0,96
301.0,91
302.0,83
303.0,79
304.0,77
305.0,72
306.0,64
307.0,57
308.0,49
309.0,184
310.0,180
311.0,175
312.0,167
313.0,159
314.0,155
315.0,148
316.0,143
317.0,129
318.0,124
319.0,118
320.0,114
321.0,111
322.0,108
323.0,102
324.0,97
325.0,94
326.0,90
327.0,89
328.0,81
329.0,77
330.0,70
331.0,69
332.0,63
333.0,60
334.0,53
335.0,191
336.0,189
337.0,182
338.0,177
339.0,166
340.0,158
341.0,153
342.0,151
343.0,144
344.0,142
345.0,136
346.0,133
347.0,130
348.0,126
349.0,118
350.0,113
351.0,111
352.0,104
353.0,99
354.0,90
355.0,87
356.0,83
357.0,79
358.0,75
359.0,67
360.0,60
361.0,56
362.0,190
363.0,187
364.0,184
365.0,180
0.0,200
1.0,195
2.0,184
3.0,176
4.0,173
5.0,170
6.0,163
7.0,155
8.0,148
9.0,142
10.0,138
11.0,133
12.0,127
13.0,123
14.0,118
15.0,114
16.0,110
17.0,106
18.0,98
19.0,93
20.0,89
21.0,84
22.0,79
23.0,70
24.0,66
25.0,64
26.0,61
27.0,51
28.0,51
29.0,187
30.0,182
31.0,180
32.0,174
33.0,166
34.0,157
35.0,151
36.0,145
37.0,139
38.0,135
39.0,131
40.0,124
41.0,119
42.0,113
43.0,111
44.0,100
45.0,98
46.0,91
47.0,88
48.0,82
49.0,78
50.0,74
51.0,69
52.0,61
53.0,57
54.0,50
55.0,181
56.0,178
57.0,174
58.0,164
59.0,156
60.0,153
61.0,146
62.0,144
63.0,135
64.0,129
65.0,123
66.0,116
67.0,107
68.0,101
69.0,93
70.0,88
71.0,85
72.0,80
73.0,75
74.0,67
75.0,66
76.0,60
77.0,57
78.0,196
79.0,189
80.0,185
81.0,179
82.0,173
83.0,168
84.0,166
85.0,163
86.0,159
87.0,154
88.0,150
89.0,148
90.0,141
91.0,135
92.0,128
93.0,126
94.0,121
95.0,119
96.0,116
97.0,111
98.0,105
99.0,102
100.0,99
101.0,96
102.0,91
103.0,89
104.0,85
105.0,80
106.0,75
107.0,70
108.0,68
109.0,63
110.0,61
111.0,57
112.0,193
113.0,189
114.0,183
115.0,180
116.0,173
117.0,167
118.0,165
119.0,157
120.0,150
121.0,142
122.0,138
123.0,136
124.0,131
125.0,127
126.0,120
127.0,116
128.0,113
129.0,112
130.0,109
131.0,100
132.0,94
133.0,86
134.0,84
135.0,80
136.0,75
137.0,72
138.0,69
139.0,66
140.0,62
141.0,57
142.0,49
143.0,44
144.0,180
145.0,173
146.0,166
147.0,165
148.0,162
149.0,157
150.0,154
151.0,153
152.0,147
153.0,145
154.0,138
155.0,130
156.0,125
157.0,120
158.0,113
159.0,108
160.0,105
161.0,99
162.0,95
163.0,88
164.0,87
165.0,80
166.0,77
167.0,72
168.0,68
169.0,61
170.0,55
171.0,188
172.0,183
173.0,175
174.0,171
175.0,168
176.0,161
177.0,152
178.0,147
179.0,139
180.0,131
181.0,125
182.0,122
183.0,114
184.0,110
185.0,107
186.0,103
187.0,96
188.0,93
189.0,85
190.0,77
191.0,72
192.0,68
193.0,65
194.0,59
195.0,55
196.0,190
197.0,186
198.0,180
199.0,176
200.0,173
201.0,166
202.0,163
203.0,158
204.0,149
205.0,146
206.0,138
207.0,133
208.0,126
209.0,115
210.0,111
211.0,103
212.0,95
213.0,91
214.0,81
215.0,77
216.0,71
217.0,66
218.0,61
219.0,58
220.0,191
221.0,186
222.0,183
223.0,177
224.0,171
225.0,160
226.0,155
227.0,148
228.0,136
229.0,132
230.0,128
231.0,121
232.0,117
233.0,111
234.0,107
235.0,104
236.0,102
237.0,99
238.0,93
239.0,90
240.0,84
241.0,80
242.0,74
243.0,68
244.0,66
245.0,56
246.0,52
247.0,186
248.0,182
249.0,177
250.0,170
251.0,164
252.0,160
253.0,156
254.0,152
255.0,146
256.0,139
257.0,133
258.0,131
259.0,126
260.0,119
261.0,115
262.0,108
263.0,101
264.0,96
265.0,90
266.0,84
267.0,81
268.0,74
269.0,70
270.0,67
271.0,61
272.0,57
273.0,53
274.0,184
275.0,175
276.0,168
277.0,162
278.0,158
279.0,153
280.0,145
281.0,143
282.0,137
283.0,134
284.0,126
285.0,122
286.0,118
287.0,114
288.0,110
289.0,105
290.0,101
291.0,95
292.0,91
293.0,86
294.0,78
295.0,71
296.0,65
297.0,60
298.0,58
299.0,196
300.0,187
301.0,184
302.0,179
303.0,175
304.0,170
305.0,162
306.0,156
307.0,150
308.0,147
309.0,142
310.0,138
311.0,133
312.0,128
313.0,127
314.0,123
315.0,118
316.0,110
317.0,104
318.0,99
319.0,97
320.0,90
321.0,85
322.0,80
323.0,77
324.0,75
325.0,72
326.0,71
327.0,64
328.0,55
329.0,49
330.0,185
331.0,183
332.0,178
333.0,174
334.0,168
335.0,163
336.0,159
337.0,151
338.0,141
339.0,136
340.0,131
341.0,127
342.0,122
343.0,117
344.0,112
345.0,107
346.0,102
347.0,99
348.0,91
349.0,84
350.0,80
351.0,75
352.0,69
353.0,63
354.0,56
355.0,52
356.0,183
357.0,180
358.0,175
359.0,170
360.0,167
361.0,158
362.0,151
363.0,144
364.0,142
365.0,135
0.0,200
1.0,196
2.0,189
3.0,181
4.0,174
5.0,166
6.0,158
7.0,151
8.0,146
9.0,143
10.0,134
11.0,131
12.0,128
13.0,126
14.0,124
15.0,118
16.0,115
17.0,109
18.0,105
19.0,101
20.0,95
21.0,91
22.0,87
23.0,80
24.0,74
25.0,72
26.0,68
27.0,64
28.0,61
29.0,55
30.0,192
31.0,189
32.0,186
33.0,181
34.0,176
35.0,172
36.0,166
37.0,161
38.0,157
39.0,155
40.0,150
41.0,149
42.0,146
43.0,140
44.0,136
45.0,131
46.0,128
47.0,121
48.0,118
49.0,117
50.0,112
51.0,109
52.0,104
53.0,98
54.0,90
55.0,87
56.0,80
57.0,69
58.0,62
59.0,56
60.0,53
61.0,184
62.0,179
63.0,169
64.0,163
65.0,159
66.0,153
67.0,146
68.0,139
69.0,136
70.0,133
71.0,129
72.0,126
73.0,120
74.0,118
75.0,116
76.0,111
77.0,107
78.0,99
79.0,94
80.0,88
81.0,85
82.0,82
83.0,73
84.0,68
85.0,64
86.0,56
87.0,189
88.0,184
89.0,178
90.0,173
91.0,169
92.0,166
93.0,164
94.0,157
95.0,153
96.0,150
97.0,146
98.0,144
99.0,137
100.0,132
101.0,130
102.0,120
103.0,115
104.0,103
105.0,100
106.0,96
107.0,92
108.0,89
109.0,85
110.0,83
111.0,77
112.0,75
113.0,67
114.0,63
115.0,59
116.0,50
117.0,47
118.0,182
119.0,180
120.0,177
121.0,175
122.0,173
123.0,165
124.0,155
125.0,150
126.0,140
127.0,137
128.0,133
129.0,127
130.0,118
131.0,111
132.0,104
133.0,102
134.0,99
